text,category,source,tags
"The African gray parrot is known for its high innate intelligence and can learn over 100 words and 50 sentences, showcasing its remarkable cognitive abilities.","animals","Britannica","intelligence;birds;cognitive abilities"
"Crows are masterful mimics and can be trained to count aloud up to 7, demonstrating their advanced problem-solving skills.","animals","Britannica","intelligence;birds;problem solving"
"Ravens are intelligent birds that can save items for use as tools or for barter, highlighting their strategic thinking.","animals","Britannica","intelligence;birds;tools;strategy"
"The bottlenose dolphin has the longest social memory of any nonhuman species, with individuals recognizing each other after decades of separation.","animals","Britannica","dolphins;memory;social behavior"
"The Amazon rainforest, home to countless animal species, is the world's largest rainforest, covering about 5.5 million square kilometers.","animals","National Geographic Kids","rainforest;habitat;biodiversity"
"Border Collies are among the most intelligent dog breeds and excel in agility competitions, showcasing their remarkable cognitive abilities.","animals","User Research","dogs;intelligence;agility;breeds"
"Chimpanzees can be taught to use sign language or languages based on tokens or pictorial symbols, demonstrating advanced communication skills.","animals","User Research","primates;communication;sign language;intelligence"
"Killer whales can recognize themselves in mirrors, a trait shared by only a few species, indicating high self-awareness.","animals","User Research","whales;self-awareness;mirrors;intelligence"
"Orangutans demonstrate causal and logical reasoning, self-recognition, deception, symbolic communication, foresight, and tool use.","animals","User Research","primates;reasoning;tools;intelligence"
"Cuttlefish can learn to delay gratification for a preferred food, showing intelligence comparable to vertebrates.","animals","User Research","cuttlefish;intelligence;delayed gratification;marine"
"The Romanov family, the last imperial rulers of Russia, were brutally murdered in 1918, marking the end of the Romanov dynasty and the Russian Empire.","history","World History Encyclopedia","russia;dynasty;revolution"
"The Great Wall of China, one of the world's most iconic structures, was built over centuries, with its earliest sections dating back to the 7th century BC.","history","Britannica","china;architecture;ancient"
"Cleopatra, the last active ruler of the Ptolemaic Kingdom of Egypt, was not Egyptian by birth but of Macedonian descent, and she ruled from 51 to 30 BC.","history","Britannica","egypt;rulers;ancient"
"The Library of Alexandria, one of the largest and most significant libraries of the ancient world, was founded in the 3rd century BC and housed hundreds of thousands of scrolls.","history","Britannica","egypt;library;ancient;knowledge"
"The Rosetta Stone, discovered in 1799, was key to deciphering Egyptian hieroglyphs, as it contained the same text in three scripts: hieroglyphic, demotic, and Greek.","history","Britannica","egypt;archaeology;language;discovery"
"The Agricultural Revolution began with the earliest evidence of grain control in Israel around 20,000 BCE, marking a shift to farming.","history","User Research","agriculture;farming;revolution;ancient"
"The first wheeled vehicles appeared in Mesopotamia, Eastern Europe, and the Caucasus around 3500 BCE, revolutionizing transportation.","history","User Research","wheels;transportation;mesopotamia;ancient"
"The Gutenberg Bible was the first mass-produced book, printed around 1455, transforming the spread of knowledge.","history","User Research","printing;gutenberg;books;knowledge"
"The first cities in Mesopotamia, such as Uruk and Eridu, developed between 4000-3000 BCE, with Uruk becoming the largest by 2900 BCE.","history","User Research","cities;mesopotamia;uruk;civilization"
"The first writing systems, including Cuneiform in Mesopotamia, Hieroglyphics in Egypt, and the Indus Script, emerged around 3200 BCE.","history","User Research","writing;cuneiform;hieroglyphics;ancient"
"The world's oldest known work of art was discovered in 2019 on Sulawesi, Indonesia, and was created 44,000 years ago.","history","User Research","art;ancient;sulawesi;prehistoric"
"There are 9,310 X posts sent every second on X.","history","User Research","social media;x;twitter;posts"
"The most expensive painting ever sold is 'Salvator Mundi' by Leonardo da Vinci, valued at $450.3M.","history","User Research","art;leonardo da vinci;expensive;auction"
"France is the most-visited country in the world, with 90M visitors in 2018 according to UNWTO figures.","history","User Research","france;tourism;visitors;travel"
"The Sun is 400 times larger than the Moon, but it is also 400 times farther away, making both objects appear roughly the same size in our sky.","space","Astronomy.com","sun;moon;perspective;astronomy"
"Neptune's moon Triton is the coldest known object in the solar system, with an average surface temperature of -391°F (-235°C).","space","Astronomy.com","neptune;moons;temperature;extreme"
"The International Space Station (ISS) orbits Earth at an average speed of 17,500 miles per hour (28,000 km/h), completing an orbit every 90 minutes.","space","NASA","iss;orbit;speed;earth"
"The Voyager 1 spacecraft, launched in 1977, became the first human-made object to enter interstellar space in 2012, traveling beyond the heliosphere.","space","NASA","voyager;interstellar;exploration;milestone"
"The Great Red Spot on Jupiter, a massive storm, has been raging for at least 150 years and is so large that it could swallow Earth whole.","space","NASA","jupiter;storm;weather;planets"
"It would take nine years to walk to the Moon, highlighting the vast distance of space travel.","space","User Research","moon;distance;walking;perspective"
"Mars is called the Red Planet because of its red coloring, which comes from the large amount of iron oxide on its surface.","space","User Research","mars;red planet;iron oxide;surface"
"Mercury's temperature varies from -280° F on its night side to 800° F during the day, showcasing extreme climate variations.","space","User Research","mercury;temperature;extreme;climate"
"If you can spot the Andromeda Galaxy with your naked eyes, you can see something 14.7 billion billion miles away, demonstrating the universe's scale.","space","User Research","andromeda;galaxy;distance;naked eye"
"Pluto is smaller than the United States, emphasizing its diminutive size compared to Earth.","space","User Research","pluto;size;united states;comparison"
"Jupiter is the largest planet in the solar system and could contain the other seven planets in just 70% of its volume.","space","User Research","jupiter;largest planet;volume;solar system"
"Of the 9,113 official features on the Moon, only 421 (4.6%) are not craters.","space","User Research","moon;features;craters;surface"
"Venus' clouds trap a lot of the Sun's heat, making its temperature the hottest in the solar system at 863° F.","space","User Research","venus;temperature;greenhouse effect;hottest"
"If the Milky Way were the size of a tennis ball, the Andromeda Galaxy (M31) would lie 5.6 feet away.","space","User Research","milky way;andromeda;scale;perspective"
"Virtually all human diseases have a genetic component, except perhaps trauma, highlighting the role of genetics in health.","biology","NCBI Bookshelf","genetics;disease;health;human"
"The human genome comprises about 3 billion base pairs, with approximately 0.1% genetic variation between individuals, equating to about 6 million base pair differences.","biology","NCBI Bookshelf","genetics;genome;dna;variation"
